,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Covid
Reportcard",,,Washington Square,,,,,,,,,,,,,,,,,,Tandon,,,,,,,,,,,,,,,,,,School of Law,,,,,,,,,,,,,,,,,,College of Dentistry,,,,,,,,,,,,,,,,,,Silver,,,,,,,,,,,,,,,,,,Wagner,,,,,,,,,,,,,,,,,,School of Professional Studies,,,,,,,,,,,,,,,,,,Institute for Study of the Ancient World,,,,,,,,,,,,,,,,,,Institute of Fine Arts,,,,,,,,,,,,,,,,,,Overall,,,,,,,,,,,,,Weekly,,,,,,,,,,,,,,,,,,,,
10/01/20,3,,64,132,4,44,"43,908",346,62,177,46,22,24,0,0,+4,4 ,"1,033 ",0.39%,,10,19,4,7,"5,033",346,62,28,7,5,2,0,0,+4,4 ,174 ,2.30%,,3,4,0,3,"1,446",346,62,0,2,2,0,0,0,-,0 ,50 ,0.00%,,4,13,1,2,"2,423",346,62,9,2,2,0,0,0,+1,1 ,174 ,0.57%,,0,0,0,0,446,346,62,0,0,0,0,0,0,-,0 ,9 ,0.00%,,0,0,0,0,0,346,62,0,0,0,0,0,0,-,0 ,0 ,-,,3,8,0,1,"1,916",346,62,5,3,3,0,0,0,-,0 ,42 ,0.00%,,0,0,0,0,28,346,62,0,0,0,0,0,0,-,0 ,4 ,0.00%,,0,0,0,0,171,346,62,0,0,0,0,0,0,-,0 ,1 ,0.00%,,84,+9,9 ,"1,492 ",0.60%,60 ,219 ,56.7%,43.3%,284 ,,84 ,,,,,,,,,,,,,,,,,,,,,,
10/02/20,3,,65,133,1,45,"45,294",346,49,179,47,24,23,0,0,+1,1 ,"1,386 ",0.07%,,10,24,0,7,"5,157",346,49,29,6,4,2,0,0,-,0 ,124 ,0.00%,,3,5,0,3,"1,604",346,49,0,2,2,0,0,0,-,0 ,158 ,0.00%,,4,13,0,2,"2,604",346,49,9,2,2,0,0,0,-,0 ,181 ,0.00%,,0,0,0,0,454,346,49,0,0,0,0,0,0,-,0 ,8 ,0.00%,,0,0,0,0,0,346,49,0,0,0,0,0,0,-,0 ,0 ,-,,3,9,0,1,"1,978",346,49,5,3,3,0,0,0,-,0 ,62 ,0.00%,,0,0,0,0,28,346,49,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,176,346,49,0,0,0,0,0,0,-,0 ,5 ,0.00%,,85,+1,1 ,"1,938 ",0.05%,60 ,222 ,58.3%,41.7%,297 ,,85 ,,,,,,,,,,,,,,,,,,,,,,
10/03/20,3,,65,133,0,45,"45,294",346,49,179,47,24,23,0,0,-,0 ,0 ,-,,10,24,0,7,"5,157",346,49,29,6,4,2,0,0,-,0 ,0 ,-,,3,5,0,3,"1,604",346,49,0,2,2,0,0,0,-,0 ,0 ,-,,4,13,0,2,"2,604",346,49,9,2,2,0,0,0,-,0 ,0 ,-,,0,0,0,0,454,346,49,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,0,346,49,0,0,0,0,0,0,-,0 ,0 ,-,,3,9,0,1,"1,978",346,49,5,3,3,0,0,0,-,0 ,0 ,-,,0,0,0,0,28,346,49,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,176,346,49,0,0,0,0,0,0,-,0 ,0 ,-,,85,-,0 ,2 ,-,60 ,222 ,58.3%,41.7%,297 ,,75 ,,,,,,,,,,,,,,,,,,,,,,
10/04/20,3,,84,152,19,64,"47,482",346,45,168,51,26,25,0,0,+19,19 ,"2,188 ",0.87%,,12,26,2,9,"5,458",346,45,24,7,4,3,0,0,+2,2 ,301 ,0.66%,,4,6,1,4,"1,743",346,45,0,3,3,0,0,0,+1,1 ,139 ,0.72%,,6,15,2,4,"2,925",346,45,10,2,2,0,0,0,+2,2 ,321 ,0.62%,,0,0,0,0,479,346,45,0,0,0,0,0,0,-,0 ,25 ,0.00%,,0,0,0,0,0,346,45,0,0,0,0,0,0,-,0 ,0 ,-,,4,10,1,2,"2,071",346,45,4,3,3,0,0,0,+1,1 ,93 ,1.08%,,0,0,0,0,37,346,45,0,0,0,0,0,0,-,0 ,9 ,0.00%,,0,0,0,0,192,346,45,0,0,0,0,0,0,-,0 ,16 ,0.00%,,110,+25,25 ,"3,104 ",0.81%,66 ,206 ,57.6%,42.4%,301 ,,83 ,,83 ,"13,139 ",0.63%,0 ,0.63%,09/28/20,10/04/20,09/28-10/04,,,,,,,,,,,,,
10/05/20,3,,101,169,17,17,"50,694",346,44,96,44,21,23,0,0,+17,17 ,"3,212 ",0.53%,,15,30,0,3,"5,907",346,44,14,7,4,3,0,0,+3,3 ,449 ,0.67%,,6,7,0,2,"1,854",346,44,1,3,3,0,0,0,+2,2 ,111 ,1.80%,,6,15,0,0,"3,253",346,44,9,1,1,0,0,0,-,0 ,328 ,0.00%,,0,0,0,0,505,346,44,,0,,,,,-,0 ,26 ,0.00%,,0,0,0,0,0,346,44,0,0,0,0,0,0,-,0 ,0 ,-,,6,10,0,2,"2,269",346,44,,0,,,,,+2,2 ,198 ,1.01%,,0,0,0,0,37,346,44,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,206,346,44,0,0,0,0,0,0,-,0 ,14 ,0.00%,,134,+24,24 ,"4,371 ",0.55%,55 ,120 ,52.7%,47.3%,302 ,,84 ,,,,,,,,,,,,,,,,,,,,,,
10/06/20,3,,101,169,0,17,"50,694",346,44,96,44,21,23,0,0,-,0 ,0 ,-,,15,30,0,3,"5,907",346,44,14,7,4,3,0,0,-,0 ,0 ,-,,6,7,0,2,"1,854",346,44,1,3,3,0,0,0,-,0 ,0 ,-,,6,15,0,0,"3,253",346,44,9,1,1,0,0,0,-,0 ,0 ,-,,0,0,0,0,505,346,44,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,0,346,44,0,0,0,0,0,0,-,0 ,0 ,-,,6,10,0,2,"2,269",346,44,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,37,346,44,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,206,346,44,0,0,0,0,0,0,-,0 ,0 ,-,,134,-,0 ,0 ,-,55 ,120 ,52.7%,47.3%,302 ,,84 ,,,,,,,,,,,,,,,,,,,,,,
10/07/20,3,,101,169,0,17,"51,749",346,46,194,34,18,16,0,0,-,0 ,"1,055 ",0.00%,,15,30,0,3,"6,156",346,46,33,6,4,2,0,0,-,0 ,249 ,0.00%,,6,7,0,2,"1,893",346,46,3,3,3,0,0,0,-,0 ,39 ,0.00%,,6,15,0,0,"3,418",346,46,10,2,2,0,0,0,-,0 ,165 ,0.00%,,0,0,0,0,512,346,46,0,0,0,0,0,0,-,0 ,7 ,0.00%,,0,0,0,0,0,346,46,0,0,0,0,0,0,-,0 ,0 ,-,,6,10,0,2,"2,296",346,46,0,0,0,0,0,0,-,0 ,27 ,0.00%,,0,0,0,0,37,346,46,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,211,346,46,0,0,0,0,0,0,-,0 ,5 ,0.00%,,134,-,0 ,"1,561 ",-,45 ,240 ,60.0%,40.0%,300 ,,59 ,,,,,,,,,,,,,,,,,,,,,,
10/08/20,3,,107,175,6,17,"52,659",346,46,194,34,18,16,0,0,+6,6 ,910 ,0.66%,,15,30,0,3,"6,174",346,46,33,6,4,2,0,0,-,0 ,18 ,0.00%,,7,8,0,2,"1,925",346,46,3,3,3,0,0,0,+1,1 ,32 ,3.13%,,6,15,0,0,"3,513",346,46,10,2,2,0,0,0,-,0 ,95 ,0.00%,,1,1,1,1,516,346,46,0,0,0,0,0,0,+1,1 ,4 ,25.00%,,0,0,0,0,0,346,46,0,0,0,0,0,0,-,0 ,0 ,-,,6,10,0,2,"2,380",346,46,0,0,0,0,0,0,-,0 ,84 ,0.00%,,0,0,0,0,39,346,46,0,0,0,0,0,0,-,0 ,2 ,0.00%,,0,0,0,0,220,346,46,0,0,0,0,0,0,-,0 ,9 ,0.00%,,142,+8,8 ,"1,161 ",0.69%,45 ,240 ,60.0%,40.0%,300 ,142 ,58 ,,,,,,,,,,,,,,,,,,,,,,
10/09/20,3,,108,176,1,17,"54,294",346,46,194,34,18,16,0,0,+1,1 ,"1,635 ",0.06%,,15,30,0,3,"6,313",346,46,33,6,4,2,0,0,-,0 ,139 ,0.00%,,9,10,2,4,"2,076",346,46,3,3,3,0,0,0,+2,2 ,151 ,1.32%,,10,19,4,4,"3,653",346,46,10,2,2,0,0,0,+4,4 ,140 ,2.86%,,1,1,0,0,530,346,46,0,0,0,0,0,0,-,0 ,14 ,0.00%,,0,0,0,0,0,346,46,0,0,0,0,0,0,-,0 ,0 ,-,,6,10,0,2,"2,434",346,46,0,0,0,0,0,0,-,0 ,54 ,0.00%,,0,0,0,0,43,346,46,0,0,0,0,0,0,-,0 ,4 ,0.00%,,0,0,0,0,234,346,46,0,0,0,0,0,0,-,0 ,14 ,0.00%,,149,+7,7 ,"2,162 ",0.32%,45 ,240 ,60.0%,40.0%,300 ,149 ,64 ,,,,,,,,,,,,,,,,,,,,,,
10/10/20,4,,0,176,2,0,"54,294",346,43,180,33,15,18,0,0,-,2 ,0 ,-,,0,30,0,3,"6,313",346,43,26,4,3,1,0,0,-,0 ,0 ,-,,0,10,0,0,"2,076",346,43,3,3,3,0,0,0,-,0 ,0 ,-,,0,19,0,0,"3,653",346,43,10,2,2,0,0,0,-,0 ,0 ,-,,0,1,0,0,530,346,43,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,0,346,43,0,0,0,0,0,0,-,0 ,0 ,-,,0,10,0,0,"2,434",346,43,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,43,346,43,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,234,346,43,0,0,0,0,0,0,-,0 ,0 ,-,,0,-,2 ,0 ,-,42 ,219 ,54.8%,45.2%,303 ,139 ,64 ,,,,,,,,,,,,,,,,,,,,,,
10/11/20,4,,5,179,3,0,"56,098",346,32,156,29,13,16,0,0,+5,3 ,"1,804 ",0.28%,,0,30,0,0,"6,548",346,32,30,3,2,1,0,0,-,0 ,235 ,0.00%,,0,10,0,0,"2,212",346,32,8,5,3,2,0,0,-,0 ,136 ,0.00%,,0,19,0,0,"3,883",346,32,6,6,6,0,0,0,-,0 ,230 ,0.00%,,0,1,0,0,545,346,32,0,0,0,0,0,0,-,0 ,15 ,0.00%,,0,0,0,0,0,346,32,0,0,0,0,0,0,-,0 ,0 ,-,,0,10,0,0,"2,518",346,32,2,2,1,1,0,0,-,0 ,84 ,0.00%,,0,0,0,0,46,346,32,0,0,0,0,0,0,-,0 ,3 ,0.00%,,0,0,0,0,242,346,32,1,0,0,0,0,0,-,0 ,8 ,0.00%,,5,+5,3 ,"2,554 ",0.20%,45 ,203 ,55.6%,44.4%,314 ,127 ,44 ,,44 ,"11,809 ",0.37%,0 ,0.37%,10/05/20,10/11/20,10/05-10/11,,127 ,"24,948 ",0.51%,,,,,,,,,
10/12/20,4,,5,179,0,0,"56,098",346,32,156,29,13,16,0,0,-,0 ,0 ,-,,0,30,0,0,"6,548",346,32,30,3,2,1,0,0,-,0 ,0 ,-,,0,10,0,0,"2,212",346,32,8,5,3,2,0,0,-,0 ,0 ,-,,0,19,0,0,"3,883",346,32,6,6,6,0,0,0,-,0 ,0 ,-,,0,1,0,0,545,346,32,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,494,346,32,0,0,0,0,0,0,-,0 ,494 ,0.00%,,0,10,0,0,"2,518",346,32,2,2,1,1,0,0,-,0 ,0 ,-,,0,0,0,0,46,346,32,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,242,346,32,1,0,0,0,0,0,-,0 ,0 ,-,,5,-,0 ,0 ,-,45 ,203 ,55.6%,44.4%,314 ,104 ,20 ,,,,,,,,,,,,,,,,,,,,,,
10/13/20,4,,7,179,2,0,"59,857",346,32,156,29,13,16,0,0,+2,2 ,"3,759 ",0.05%,,0,30,0,0,"6,972",346,32,30,3,2,1,0,0,-,0 ,424 ,0.00%,,0,10,0,0,"2,375",346,32,8,5,3,2,0,0,-,0 ,163 ,0.00%,,0,19,0,0,"4,241",346,32,6,6,6,0,0,0,-,0 ,358 ,0.00%,,0,1,0,0,570,346,32,0,0,0,0,0,0,-,0 ,25 ,0.00%,,0,0,0,0,529,346,32,0,0,0,0,0,0,-,0 ,35 ,0.00%,,0,10,0,0,"2,693",346,32,2,2,1,1,0,0,-,0 ,175 ,0.00%,,0,0,0,0,56,346,32,0,0,0,0,0,0,-,0 ,10 ,0.00%,,0,0,0,0,261,346,32,1,0,0,0,0,0,-,0 ,19 ,0.00%,,7,+2,2 ,"4,973 ",0.04%,45 ,203 ,55.6%,44.4%,314 ,106 ,22 ,,,,,,,,,,,,,,,,,,,,,,
10/14/20,4,,9,181,0,2,"59,857",346,21,125,10,6,4,0,0,+2,2 ,0 ,-,,0,30,0,0,"6,972",346,21,19,0,0,0,0,0,-,0 ,0 ,-,,0,10,0,0,"2,375",346,21,8,4,2,2,0,0,-,0 ,0 ,-,,0,19,0,0,"4,241",346,21,7,5,5,0,0,0,-,0 ,0 ,-,,0,1,0,0,570,346,21,0,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,529,346,21,0,0,0,0,0,0,-,0 ,0 ,-,,0,10,0,0,"2,693",346,21,3,0,0,0,0,0,-,0 ,0 ,-,,0,0,0,0,56,346,21,0,0,0,0,0,0,-,0 ,0 ,-,,1,0,0,0,261,346,21,0,1,0,1,0,0,+1,1 ,0 ,-,,10,+3,3 ,0 ,-,20 ,162 ,65.0%,35.0%,325 ,84 ,25 ,,,,,,,,,,,,,,,,,,,,,,
10/15/20,4,,12,184,3,5,"61,321",346,21,127,12,7,5,0,0,+3,3 ,"1,464 ",0.20%,,0,30,0,0,"7,181",346,21,18,0,0,0,0,0,-,0 ,209 ,0.00%,,0,10,0,0,"2,437",346,21,6,2,0,2,0,0,-,0 ,62 ,0.00%,,0,19,0,0,"4,488",346,21,7,4,4,0,0,0,-,0 ,247 ,0.00%,,0,1,0,0,581,346,21,0,0,0,0,0,0,-,0 ,11 ,0.00%,,0,0,0,0,541,346,21,0,0,0,0,0,0,-,0 ,12 ,0.00%,,0,10,0,0,"2,737",346,21,3,0,0,0,0,0,-,0 ,44 ,0.00%,,0,0,0,0,57,346,21,0,0,0,0,0,0,-,0 ,1 ,0.00%,,1,0,0,0,262,346,21,0,1,1,0,0,0,-,0 ,1 ,0.00%,,13,+3,3 ,"2,051 ",0.15%,19 ,161 ,63.2%,36.8%,325 ,78 ,20 ,,,,,,,,,,,,,,,,,,,,,,
10/16/20,4,,20,192,8,13,"61,900",346,20,143,15,8,7,0,0,+8,8 ,579 ,1.38%,,1,31,1,1,"7,234",346,20,17,1,0,1,0,0,+1,1 ,53 ,1.89%,,0,10,0,0,"2,463",346,20,6,2,0,2,0,0,-,0 ,26 ,0.00%,,0,19,0,0,"4,553",346,20,4,3,3,0,0,0,-,0 ,65 ,0.00%,,0,1,0,0,585,346,20,0,0,0,0,0,0,-,0 ,4 ,0.00%,,0,0,0,0,546,346,20,0,0,0,0,0,0,-,0 ,5 ,0.00%,,0,10,0,0,"2,752",346,20,3,0,0,0,0,0,-,0 ,15 ,0.00%,,0,0,0,0,58,346,20,0,0,0,0,0,0,-,0 ,1 ,0.00%,,1,0,0,0,269,346,20,0,1,1,0,0,0,-,0 ,7 ,0.00%,,22,+9,9 ,765 ,1.18%,22 ,173 ,54.5%,45.5%,326 ,86 ,22 ,,,,,,,,,,,,,,,,,,,,,,
10/17/20,4,,34,205,13,26,"62,764",346,17,134,18,11,7,0,0,+14,13 ,864 ,1.62%,,1,31,0,1,"7,343",346,17,18,1,0,1,0,0,-,0 ,109 ,0.00%,,4,13,3,3,"2,568",346,17,5,5,1,4,0,0,+4,3 ,105 ,3.81%,,4,21,2,2,"4,694",346,17,3,4,4,0,0,0,+4,2 ,141 ,2.84%,,0,1,0,0,592,346,17,0,0,0,0,0,0,-,0 ,7 ,0.00%,,0,0,0,0,551,346,17,0,0,0,0,0,0,-,0 ,5 ,0.00%,,0,10,0,0,"2,804",346,17,3,0,0,0,0,0,-,0 ,52 ,0.00%,,0,0,0,0,59,346,17,0,0,0,0,0,0,-,0 ,1 ,0.00%,,1,0,0,0,278,346,17,0,1,1,0,0,0,-,0 ,9 ,0.00%,,44,+22,18 ,"1,293 ",1.70%,29 ,163 ,58.6%,41.4%,329 ,108 ,44 ,,,,,,,,,,,,,,,,,,,,,,
10/18/20,4,,61,232,27,0,"65,210",346,17,136,36,21,15,0,0,+27,27 ,"2,446 ",1.10%,,4,34,3,0,"7,643",346,17,16,3,2,1,0,0,+3,3 ,300 ,1.00%,,7,15,2,0,"2,706",346,17,11,6,1,5,0,0,+3,2 ,138 ,2.17%,,8,25,4,0,"5,028",346,17,4,7,7,0,0,0,+4,4 ,334 ,1.20%,,0,1,0,0,613,346,17,1,0,0,0,0,0,-,0 ,21 ,0.00%,,1,1,1,0,591,346,17,0,1,1,0,0,0,+1,1 ,40 ,2.50%,,2,12,2,0,"2,943",346,17,2,1,1,0,0,0,+2,2 ,139 ,1.44%,,0,0,0,0,64,346,17,0,0,0,0,0,0,-,0 ,5 ,0.00%,,2,1,1,0,296,346,17,1,1,1,0,0,0,+1,1 ,18 ,5.56%,,85,+41,40 ,"3,681 ",1.11%,55 ,171 ,61.8%,38.2%,329 ,124 ,80 ,,80 ,"12,763 ",0.63%,0 ,0.63%,10/12/20,10/18/20,10/12-10/18,,,,,,,,,,,,,
